+------+----------------------+-----+--------+---------+
| Rank | Name                 | PRI | RAW01  | Context |
| 113  | hootwe               | 66  | 0.2557 | batch   |
| 114  | 4sammy               | 66  | 0.2551 | batch   |
| 115  | grim                 | 66  | 0.2537 | batch   |
| 116  | Tw1n_glocks          | 66  | 0.2524 | batch   |
| 117  | Paragon              | 66  | 0.2523 | batch   |
| 118  | OnlyDae              | 66  | 0.2522 | batch   |
| 119  | twiz                 | 65  | 0.2445 | batch   |
| 120  | ffaiit               | 65  | 0.2437 | batch   |
| 121  | ace                  | 65  | 0.2419 | batch   |
| 122  | ceo                  | 65  | 0.2399 | batch   |
| 123  | cahpn                | 65  | 0.2399 | batch   |
| 124  | Smoov1e              | 65  | 0.2382 | batch   |
| 125  | BewareOfThe12th      | 64  | 0.2370 | batch   |
| 126  | gIueguyy             | 64  | 0.2351 | batch   |
| 127  | chevy                | 64  | 0.2348 | batch   |
| 128  | Monkey               | 63  | 0.2275 | batch   |
| 129  | hoopslifeogpark      | 63  | 0.2269 | batch   |
| 130  | InsertedScoring      | 63  | 0.2201 | batch   |
| 131  | lil von              | 62  | 0.2156 | batch   |
| 132  | dante                | 62  | 0.2150 | batch   |
| 133  | feared               | 62  | 0.2132 | batch   |
| 134  | ItsRillaYT           | 61  | 0.2080 | batch   |
| 135  | Shady                | 61  | 0.2052 | batch   |
| 136  | lit                  | 61  | 0.2022 | batch   |
| 137  | lfqd                 | 61  | 0.2021 | batch   |
| 138  | revive               | 60  | 0.1980 | batch   |
| 139  | CardiBFan41          | 60  | 0.1920 | batch   |
| 140  | Blitz                | 59  | 0.1854 | batch   |
| 141  | Key0nteGeorge        | 59  | 0.1829 | batch   |
| 142  | carriedbygreens      | 59  | 0.1799 | batch   |
| 143  | gau                  | 58  | 0.1762 | batch   |
| 144  | valk                 | 57  | 0.1658 | batch   |
| 145  | Doodi                | 56  | 0.1534 | batch   |
| 146  | revian2              | 56  | 0.1522 | batch   |
| 147  | dissipate            | 55  | 0.1470 | batch   |
| 148  | SQUAAX               | 48  | 0.0796 | batch   |
| 149  | des                  | 46  | 0.0611 | batch   |
| 150  | Silent Comedic       | 45  | 0.0529 | batch   |
| 151  | atxRalph             | 44  | 0.0398 | batch   |
| 152  | Playgroundbaskplayer | 40  | 0.0000 | batch   |
| 153  | MrGabiiii            | 40  | 0.0000 | batch   |
| 154  | trevonisn            | 40  | 0.0000 | batch   |
| 155  | asussysausage        | 40  | 0.0000 | batch   |
| 156  | 6sqzz                | 40  | 0.0000 | batch   |
| 157  | Johnnysisz123        | 40  | 0.0000 | batch   |
| 158  | Tarik0813            | 40  | 0.0000 | batch   |
| 159  | mehwon88             | 40  | 0.0000 | batch   |
| 160  | lolrandomnames       | 40  | 0.0000 | batch   |
| 161  | B1ltiou              | 40  | 0.0000 | batch   |
| 162  | gloshewrote          | 40  | 0.0000 | batch   |
| 163  | marvins_1            | 40  | 0.0000 | batch   |
| 164  | caybeast16z          | 40  | 0.0000 | batch   |
| 165  | 99vipered            | 40  | 0.0000 | batch   |
| 166  | Tariq_him2           | 40  | 0.0000 | batch   |
| 167  | zolly2x              | 40  | 0.0000 | batch   |
| 168  | Tw5gz                | 40  | 0.0000 | batch   |
| 169  | jayjetss             | 40  | 0.0000 | batch   |
| 170  | urfavmonkey54        | 40  | 0.0000 | batch   |
| 171  | ahqjjbs              | 40  | 0.0000 | batch   |
| 172  | YTCantGuardJay       | 40  | 0.0000 | batch   |
| 173  | 40X_Klot             | 40  | 0.0000 | batch   |
| 174  | cantguard_jeff       | 40  | 0.0000 | batch   |
| 175  | shaundaaa            | 40  | 0.0000 | batch   |
| 176  | Jujuxshake908        | 40  | 0.0000 | batch   |
| 177  | BillBill_45          | 40  | 0.0000 | batch   |
| 178  | pqpqpqpqpqpqpqotu    | 40  | 0.0000 | batch   |
| 179  | 1Caqueii1            | 40  | 0.0000 | batch   |
| 180  | APPLE_ONIONDUDE2     | 40  | 0.0000 | batch   |
| 181  | Herojunebug0523      | 40  | 0.0000 | batch   |
| 182  | Mdot449              | 40  | 0.0000 | batch   |
| 183  | Calidatboi_14        | 40  | 0.0000 | batch   |
| 184  | swervo30three        | 40  | 0.0000 | batch   |
| 185  | L3ft_nu134           | 40  | 0.0000 | batch   |
| 186  | Wyett_351            | 40  | 0.0000 | batch   |
