PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
lolrandomnames,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
breeze,Toronto Terror,Eastern,N/A,EBA,1,22,3,5,1,1,0,4,5,9,14,3,0
mehwon88,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik0813,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnnysisz123,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
6sqzz,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
asussysausage,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
trevonisn,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
MrGabiiii,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
Playgroundbaskplayer,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
lfqd,Oregon Skyhawks,Western,N/A,EBA,2,4,1,1.5,0,0,0,1,2,1.5,3,2,1
