PLAYER,TEAM,CONFERENCE,POSITION,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
ra_chona,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Brauussss,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
capita_I,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
29kLoxks,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
graisgraisworld,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryantanyia,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamcool200a,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
iam_rylow,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
mistergoodboi12,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Noahissabuxket,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Drihbol,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Wad_dlez,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Eztheone123,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
shurozo,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
S1ngularity,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
CarterMasterdude,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Kizhaan,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Theonemarc9,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
tectookyourpeek,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
thebrolol123,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
HELOOKINGFORDASHOOTA,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kingd0919,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kzgf,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
xaywire,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
hellawunns,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Makeswood,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
coyal43,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jona2605,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer_crih,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ohthehalloffame,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Antvyrn,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
boucez,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooperify23,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
surVing_justic,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
b76ss,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
dre60_worst,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ItsDaRealBeast,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
wickjugg,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
maxa984,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
papawonton,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
LORDKAYFLOCK700,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
SaltySharks10,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
StrictlyLua,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
IllIIIllIIIIIlIll,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
AntiKars,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
0yarzabaI,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris123aaa,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ll_LxLx,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Z3ezmr3,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
AbaderCoolBoy,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
PlainCivillian,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
iicetre,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kej (mirageatakao),Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
uunrul,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitonese,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
RichChickenBum,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
SOYUNVENECO77,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
yyDink,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
doggod23156,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Hulkyouttahere,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
unknownSpadez,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Theyfw_taytay200,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
IMM0RTAL1S,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
minesniper123,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
eqafk43,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
IIPJIl,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
vxrkyy,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
hofneedle,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Champxxion,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
2oc7y,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanopck,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
HitboxExpandrr,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
hesihunter,Atlanta Breeze (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
drago376,Arizona Panthers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagalanch,Baltimore Nighthawks (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
llrick1,Brooklyn Reapers (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
5ova,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
aurafullq,Chicago Aces (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Catchilyzay,Charlotte Empire (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
jairejame,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
lsmJ0shva,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
fr2kjayspam,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Har_deezy,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Eliplaysball8,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajrpptx,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
R3wc,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
7x_zw,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
5stzrvipers,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor_lebg5666,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingkamdyn0721,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_bugz,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
yxao,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
YTshauryaa,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
25k_bee,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ebkmir3,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
jaa7en,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
patch_can,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
NexosHyper,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
XIXStage,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoomtg6,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
noobsamer1231,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Danger_Flash,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ReignofDJ,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
SuperArnolf,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
luckne88,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
やだぁ **,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
goldvenom112,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
BLXST,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
drillstah,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Darktimes3c,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
champiuuu,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
yBurkenn,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
FernandoQG3,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
General_Digz,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
cvsheras,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
EnKurushimi,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
pizzabob3014,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
lvrsnt,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
GODTOWN42,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ha8kem,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
NRDrane,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
rhytvm,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
sentimentalfeelin,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
PotatoDomoo,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreowens,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
689veil,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
northmain21,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ThatAgentBhavu,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Newplayerhahaha7,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ZamarionJ08,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
greenstorm6,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
dejuicertx,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Dninja911,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Glockknineteenn,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Pioneer,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
gr33nb4ll,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
9Blqs,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Urstillhaunting,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
JstDunkin,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Draaaged,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
respute,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
eomq,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
jojomiami20,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan1212121212,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
o_0Hehahah,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Galanblox2,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Eco_noreal,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsaon109,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Kikkadoe7k,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kingsg2030,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
stilijoe,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Legoninjago15346,Detroit Bullets (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Bigmonkonbro,Houston Hornets (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kr4zy143,Indiana Bandits (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
lipboxin,Las Vegas Thrill (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
airow,Mexico City Aztecs (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Deliverylncoming,Miami Beach Kings (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
1of1anthonyalt,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
2k_V1B3,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
DDMM2player2025,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
0boredd,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Tune_bxnds,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Sky_PhoenixSniper,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Robloxian994906531,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jump_Force11,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoodiecaps,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Treoverplayz,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
frazemay2,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
4smas2,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Zxdreamline,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
PHX_NAGI,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
baehelpptez,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
28k_sadvibe,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevingod192,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Altichus,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Fein4hit,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Chichilenin,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
yktempest,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Tur9q,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Moss_Vibes,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
2staq,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
IgnZefd,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Nukegodking7,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
cIamps21,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
BiockEmm,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Easierpath,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Notdemon2716,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
EllyTheYeetGod,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
InferiorLock,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
JussJaaa,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
YourTweakin,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Blokropcop,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
outstandingscorer,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Facilityss,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
hotdoyo,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackoy911,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Braidenrider133,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Blurhim,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutkss(oreo),Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Levdtm,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ttv4kt6,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
xxquadzilla01,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
thatwakee,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
bIackchira,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
foreverlosttez,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ljare4,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jcoolclubs,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ItsSlezin,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Omniace_isdoodoo,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanna_TheBest123,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
SolVerdant,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
GlizzySlayer,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Adm_ist,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Mts_thursdawegambino,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
YEETHUD1,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
IsrJ_9,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Egorpashkin_1,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
91pts,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaaaaaaaqqqqx,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
lokibro2134,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
spinnerld33,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilbuzz2x,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Chic917,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
pluto_monster555,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
007jaymq,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
whatsdeodorant,New York Knights (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Itz_TooMythic,Orlando Supernovas (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
gumper_r,Oregon Skyhawks (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Wowie,Philadelphia Glory (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
camerafan20,Minnesota Huskies (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
CompAngell,Nashville Anthem (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
