PLAYER,TEAM,CONFERENCE,POSITION,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
P_ranksterr,San Francisco Bears (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
krbful,Seattle Reign (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapiddddddddd,Phoenix Power (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ixihalo,Portland Vipers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonyo_745,Sacramento Rage (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragonmaster3379 and nobodyaskedbum3,San Diego Storm (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Trizzysalt,San Francisco Bears (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
rbrogddale,Seattle Reign (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
zVonskii,Phoenix Power (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
eltnto,Portland Vipers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
GM_WRLD,Sacramento Rage (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
spinlark or mrspinglitch,San Diego Storm (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp_idaa,San Francisco Bears (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
tsfugazi,Seattle Reign (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kadenthegoat2234,Phoenix Power (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
strainedneck,Portland Vipers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
fastrider7,Sacramento Rage (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
LayedbyTei,San Diego Storm (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Txnkyy,San Francisco Bears (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Sazuka_Chan1,Seattle Reign (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Suaika_uchiha,Phoenix Power (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheluvshxrlem,Portland Vipers (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
OkyiouSPikes,Sacramento Rage (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
KOD3_BOOG1,San Diego Storm (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
24sm7,San Francisco Bears (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Fellingcopys,Seattle Reign (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoodrichdraco21,Phoenix Power (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
bowIstocash,Sacramento Rage (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
whyihacktomuch,San Diego Storm (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
blitz13150223,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ogboy123333,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyciajasmin2,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
PH2NTOMCJ,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice_formula,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Hameed2012kadir,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
2kteeski,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
FootballkingQBdime,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
LWLegacywarrior,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
rahhkinn,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
swea3ty,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
bekfast759,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
jj73329,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Carsanese,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldexperiance1,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ninja200500841,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
goodmorningorgeouss,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPONEFORTHREE,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
vWoozy(bxkardi),Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
zaiwitdashiftzz,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
TheSkullMaster88,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokyo,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
jojoyeah77,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
IqxzzI,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Doppelganger22,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayanpat1,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
bhfhhfgdfghwe,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
xI75v,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijahdj590,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
JoJo032715,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Hando5x,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
HeziRimRuns,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
whydoiloseacounts,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Sth_sohaan,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Killeram232343,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
XxBLAH_BLAHxXJ,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Vazkarii,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodjoebro,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
jaydareapp,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
washedjoe,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Killerkam271,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kj031211,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
sonic_px3,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ExecutiveHydro,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
DuragElia,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
f_xup,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
SaintS3iya,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
MrGabiiii,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
yozeeno,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
0Latino00,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
PleaseDontTake111,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
dueiwielding,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcherKam9,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey_theman1123,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmargermain18,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
eazyEER21,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Trustthereads,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Masker5671,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
vmzo,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanwiner_alt,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
jiteres,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ZaxU3U,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
